City,Datetime,PM2.5,PM10,NO2,O3,SO2
Chennai,2023-06-21 07:00:00,23,74,45,29,1
Kolkata,2023-06-21 08:00:00,102,98,45,31,26
Mumbai,2023-06-21 09:00:00,50,114,36,26,27
Delhi,2023-06-21 10:00:00,72,63,52,30,27
Bangalore,2023-06-21 11:00:00,40,86,19,78,18
Kolkata,2023-06-21 12:00:00,5,87,52,35,7
Delhi,2023-06-21 13:00:00,69,127,49,41,8
Bangalore,2023-06-21 14:00:00,5,42,47,37,36
Delhi,2023-06-21 15:00:00,57,87,36,25,35
Chennai,2023-06-21 16:00:00,12,176,76,53,19
Delhi,2023-06-21 17:00:00,129,142,49,24,11
Delhi,2023-06-21 18:00:00,91,150,20,48,34
Delhi,2023-06-21 19:00:00,63,91,44,23,9
Kolkata,2023-06-21 20:00:00,104,104,55,12,20
Delhi,2023-06-21 21:00:00,30,135,28,36,34
Bangalore,2023-06-21 22:00:00,79,160,61,10,7
Chennai,2023-06-21 23:00:00,66,10,47,39,27
Chennai,2023-06-22 00:00:00,69,30,5,8,24
Delhi,2023-06-22 01:00:00,104,148,45,24,17
Kolkata,2023-06-22 02:00:00,85,77,31,5,6
Kolkata,2023-06-22 03:00:00,70,59,50,80,9
Bangalore,2023-06-22 04:00:00,5,33,58,5,21
Delhi,2023-06-22 05:00:00,26,65,43,30,1
Chennai,2023-06-22 06:00:00,55,26,73,50,19
Kolkata,2023-06-22 07:00:00,63,184,36,48,24
Delhi,2023-06-22 08:00:00,20,88,52,45,29
Kolkata,2023-06-22 09:00:00,144,87,56,24,1
Kolkata,2023-06-22 10:00:00,113,116,38,54,33
Chennai,2023-06-22 11:00:00,81,133,55,46,38
Mumbai,2023-06-22 12:00:00,62,132,28,33,22
Bangalore,2023-06-22 13:00:00,52,138,31,34,5
Bangalore,2023-06-22 14:00:00,26,61,13,24,14
Chennai,2023-06-22 15:00:00,62,76,44,13,17
Kolkata,2023-06-22 16:00:00,69,124,46,52,21
Delhi,2023-06-22 17:00:00,16,66,63,53,18
Kolkata,2023-06-22 18:00:00,71,89,55,14,21
Chennai,2023-06-22 19:00:00,54,107,34,27,16
Bangalore,2023-06-22 20:00:00,5,125,16,27,21
Kolkata,2023-06-22 21:00:00,29,10,48,29,12
Bangalore,2023-06-22 22:00:00,45,122,62,31,13
Delhi,2023-06-22 23:00:00,126,79,55,47,11
Bangalore,2023-06-23 00:00:00,79,121,61,16,41
Bangalore,2023-06-23 01:00:00,13,124,35,14,35
Mumbai,2023-06-23 02:00:00,77,162,30,52,24
Mumbai,2023-06-23 03:00:00,5,150,25,21,33
Mumbai,2023-06-23 04:00:00,97,150,38,7,27
Bangalore,2023-06-23 05:00:00,43,154,38,21,20
Chennai,2023-06-23 06:00:00,56,103,44,24,1
Bangalore,2023-06-23 07:00:00,106,91,37,57,14
Chennai,2023-06-23 08:00:00,14,129,37,46,13
Chennai,2023-06-23 09:00:00,11,122,24,50,4
Mumbai,2023-06-23 10:00:00,39,76,58,44,1
Kolkata,2023-06-23 11:00:00,96,108,41,47,23
Delhi,2023-06-23 12:00:00,6,88,36,17,21
Mumbai,2023-06-23 13:00:00,5,51,25,26,3
Mumbai,2023-06-23 14:00:00,44,148,13,12,9
Kolkata,2023-06-23 15:00:00,79,92,66,26,31
Delhi,2023-06-23 16:00:00,102,182,51,42,7
Bangalore,2023-06-23 17:00:00,43,16,7,32,20
Bangalore,2023-06-23 18:00:00,45,64,55,53,15
Mumbai,2023-06-23 19:00:00,100,91,58,9,24
Delhi,2023-06-23 20:00:00,5,141,42,39,7
Mumbai,2023-06-23 21:00:00,46,107,71,7,19
Chennai,2023-06-23 22:00:00,66,103,44,31,20
Mumbai,2023-06-23 23:00:00,75,39,11,43,20
Mumbai,2023-06-24 00:00:00,42,37,47,26,18
Bangalore,2023-06-24 01:00:00,61,104,44,39,22
Bangalore,2023-06-24 02:00:00,5,28,27,12,44
Bangalore,2023-06-24 03:00:00,36,66,51,5,48
Chennai,2023-06-24 04:00:00,75,112,6,40,10
Bangalore,2023-06-24 05:00:00,25,45,59,61,1
Delhi,2023-06-24 06:00:00,62,162,22,12,25
Kolkata,2023-06-24 07:00:00,75,145,20,51,20
Delhi,2023-06-24 08:00:00,48,19,37,30,30
Delhi,2023-06-24 09:00:00,65,48,48,5,21
Bangalore,2023-06-24 10:00:00,26,10,43,9,18
Kolkata,2023-06-24 11:00:00,52,54,25,30,31
Kolkata,2023-06-24 12:00:00,81,124,29,22,33
Kolkata,2023-06-24 13:00:00,65,71,17,6,1
Chennai,2023-06-24 14:00:00,39,110,35,5,8
Bangalore,2023-06-24 15:00:00,67,21,61,14,16
Kolkata,2023-06-24 16:00:00,85,125,39,33,19
Chennai,2023-06-24 17:00:00,5,65,57,29,15
Mumbai,2023-06-24 18:00:00,100,90,69,20,23
Mumbai,2023-06-24 19:00:00,48,85,28,33,29
Chennai,2023-06-24 20:00:00,74,32,36,48,38
Chennai,2023-06-24 21:00:00,101,38,83,37,24
Bangalore,2023-06-24 22:00:00,11,133,68,27,7
Bangalore,2023-06-24 23:00:00,35,107,6,46,16
Mumbai,2023-06-25 00:00:00,49,137,47,12,17
Kolkata,2023-06-25 01:00:00,32,104,40,25,24
Mumbai,2023-06-25 02:00:00,120,96,56,26,22
Kolkata,2023-06-25 03:00:00,30,12,25,7,42
Kolkata,2023-06-25 04:00:00,40,77,23,22,12
Bangalore,2023-06-25 05:00:00,67,88,26,5,22
Delhi,2023-06-25 06:00:00,17,177,28,64,46
Delhi,2023-06-25 07:00:00,46,120,56,13,10
Chennai,2023-06-25 08:00:00,71,159,16,58,19
Bangalore,2023-06-25 09:00:00,48,116,27,30,6
Kolkata,2023-06-25 10:00:00,56,57,5,40,18
Delhi,2023-06-25 11:00:00,41,95,60,21,8
Kolkata,2023-06-25 12:00:00,6,100,65,33,30
Delhi,2023-06-25 13:00:00,71,47,33,41,19
Delhi,2023-06-25 14:00:00,121,72,34,41,6
Delhi,2023-06-25 15:00:00,60,80,49,43,28
Bangalore,2023-06-25 16:00:00,67,162,69,23,20
Mumbai,2023-06-25 17:00:00,84,10,48,21,29
Kolkata,2023-06-25 18:00:00,15,144,26,5,4
Bangalore,2023-06-25 19:00:00,119,47,7,39,22
Bangalore,2023-06-25 20:00:00,67,28,17,49,27
Bangalore,2023-06-25 21:00:00,117,143,41,59,12
Bangalore,2023-06-25 22:00:00,34,122,26,35,2
Bangalore,2023-06-25 23:00:00,123,146,43,16,17
Chennai,2023-06-26 00:00:00,87,126,28,5,32
Kolkata,2023-06-26 01:00:00,79,182,18,48,31
Bangalore,2023-06-26 02:00:00,68,115,16,5,12
Kolkata,2023-06-26 03:00:00,51,82,71,23,2
Chennai,2023-06-26 04:00:00,102,105,57,25,12
Chennai,2023-06-26 05:00:00,64,145,74,28,12
Kolkata,2023-06-26 06:00:00,5,54,50,30,23
Delhi,2023-06-26 07:00:00,20,60,31,32,16
Mumbai,2023-06-26 08:00:00,53,76,66,5,8
Delhi,2023-06-26 09:00:00,70,10,39,30,31
Delhi,2023-06-26 10:00:00,58,96,44,5,19
Delhi,2023-06-26 11:00:00,102,10,39,43,23
Bangalore,2023-06-26 12:00:00,5,92,5,20,1
Chennai,2023-06-26 13:00:00,65,128,72,5,1
Delhi,2023-06-26 14:00:00,5,68,49,15,1
Chennai,2023-06-26 15:00:00,86,165,46,19,12
Kolkata,2023-06-26 16:00:00,56,24,38,51,24
Mumbai,2023-06-26 17:00:00,74,143,43,33,1
Kolkata,2023-06-26 18:00:00,29,120,28,36,37
Kolkata,2023-06-26 19:00:00,104,12,52,51,20
Bangalore,2023-06-26 20:00:00,96,211,13,28,34
Mumbai,2023-06-26 21:00:00,80,87,43,43,7
Kolkata,2023-06-26 22:00:00,55,50,51,42,24
Kolkata,2023-06-26 23:00:00,80,26,36,6,19
Mumbai,2023-06-27 00:00:00,35,80,47,56,27
Mumbai,2023-06-27 01:00:00,89,84,20,5,15
Kolkata,2023-06-27 02:00:00,117,94,20,46,23
Mumbai,2023-06-27 03:00:00,97,76,44,5,31
Kolkata,2023-06-27 04:00:00,34,118,53,40,10
Kolkata,2023-06-27 05:00:00,72,72,5,63,20
Bangalore,2023-06-27 06:00:00,14,10,50,26,1
Delhi,2023-06-27 07:00:00,80,83,29,25,26
Kolkata,2023-06-27 08:00:00,75,10,36,40,41
Chennai,2023-06-27 09:00:00,5,105,13,24,3
Delhi,2023-06-27 10:00:00,19,45,22,62,16
Delhi,2023-06-27 11:00:00,50,97,59,33,28
Delhi,2023-06-27 12:00:00,49,149,40,24,18
Bangalore,2023-06-27 13:00:00,17,47,32,20,19
Kolkata,2023-06-27 14:00:00,73,137,37,13,13
Bangalore,2023-06-27 15:00:00,68,70,49,18,12
Kolkata,2023-06-27 16:00:00,53,168,48,23,16
Bangalore,2023-06-27 17:00:00,33,73,38,21,18
Bangalore,2023-06-27 18:00:00,96,52,61,18,3
Chennai,2023-06-27 19:00:00,117,120,59,67,17
Bangalore,2023-06-27 20:00:00,43,70,48,11,36
Mumbai,2023-06-27 21:00:00,38,52,41,32,12
Chennai,2023-06-27 22:00:00,77,68,53,40,3
Bangalore,2023-06-27 23:00:00,47,87,46,41,16
Delhi,2023-06-28 00:00:00,55,150,61,28,9
Mumbai,2023-06-28 01:00:00,85,10,57,25,1
Mumbai,2023-06-28 02:00:00,5,91,19,38,19
Mumbai,2023-06-28 03:00:00,106,118,18,34,9
Chennai,2023-06-28 04:00:00,62,98,25,25,10
Bangalore,2023-06-28 05:00:00,45,148,59,5,19
Bangalore,2023-06-28 06:00:00,56,86,8,21,1
Delhi,2023-06-28 07:00:00,58,81,47,9,1
Delhi,2023-06-28 08:00:00,5,116,47,17,26
Mumbai,2023-06-28 09:00:00,112,94,63,30,1
Delhi,2023-06-28 10:00:00,61,72,43,36,6
Chennai,2023-06-28 11:00:00,75,113,13,62,1
Bangalore,2023-06-28 12:00:00,93,60,20,20,12
Mumbai,2023-06-28 13:00:00,24,62,16,43,23
Delhi,2023-06-28 14:00:00,76,66,29,35,19
Chennai,2023-06-28 15:00:00,50,150,36,53,46
Chennai,2023-06-28 16:00:00,89,10,16,40,31
Delhi,2023-06-28 17:00:00,5,107,69,11,6
Bangalore,2023-06-28 18:00:00,56,91,13,5,3
Delhi,2023-06-28 19:00:00,38,14,66,35,50
Mumbai,2023-06-28 20:00:00,75,103,63,20,30
Delhi,2023-06-28 21:00:00,76,111,57,12,25
Chennai,2023-06-28 22:00:00,35,116,26,7,18
Delhi,2023-06-28 23:00:00,35,10,46,32,21
Bangalore,2023-06-29 00:00:00,56,151,14,57,1
Kolkata,2023-06-29 01:00:00,28,56,58,22,19
Delhi,2023-06-29 02:00:00,89,120,38,40,18
Bangalore,2023-06-29 03:00:00,47,123,31,28,7
Bangalore,2023-06-29 04:00:00,5,50,15,6,11
Chennai,2023-06-29 05:00:00,46,119,5,43,36
Bangalore,2023-06-29 06:00:00,23,72,19,10,16
Bangalore,2023-06-29 07:00:00,5,10,62,30,42
Bangalore,2023-06-29 08:00:00,16,142,31,23,1
Bangalore,2023-06-29 09:00:00,63,55,36,46,11
Mumbai,2023-06-29 10:00:00,106,51,53,10,1
Mumbai,2023-06-29 11:00:00,70,71,76,37,3
Chennai,2023-06-29 12:00:00,38,102,66,14,8
Delhi,2023-06-29 13:00:00,75,87,20,20,21
Bangalore,2023-06-29 14:00:00,43,114,5,5,21
Delhi,2023-06-29 15:00:00,35,29,87,67,9
Delhi,2023-06-29 16:00:00,19,56,85,39,1
Chennai,2023-06-29 17:00:00,5,84,43,16,35
Bangalore,2023-06-29 18:00:00,46,175,14,9,14
Bangalore,2023-06-29 19:00:00,65,84,59,21,4
Kolkata,2023-06-29 20:00:00,56,138,37,42,21
Delhi,2023-06-29 21:00:00,45,91,37,5,20
Delhi,2023-06-29 22:00:00,26,68,57,27,14
Mumbai,2023-06-29 23:00:00,81,78,46,61,19
Kolkata,2023-06-30 00:00:00,13,82,16,9,4
Mumbai,2023-06-30 01:00:00,87,117,33,31,27
Mumbai,2023-06-30 02:00:00,24,151,53,69,6
Mumbai,2023-06-30 03:00:00,33,106,50,41,10
Chennai,2023-06-30 04:00:00,8,143,45,32,25
Chennai,2023-06-30 05:00:00,42,46,58,39,32
Mumbai,2023-06-30 06:00:00,94,71,32,22,37
Kolkata,2023-06-30 07:00:00,78,57,43,53,30
Delhi,2023-06-30 08:00:00,94,104,5,22,14
Kolkata,2023-06-30 09:00:00,78,73,31,5,1
Bangalore,2023-06-30 10:00:00,21,122,55,22,34
Chennai,2023-06-30 11:00:00,48,48,32,12,34
Delhi,2023-06-30 12:00:00,32,91,30,24,9
Delhi,2023-06-30 13:00:00,106,120,19,25,29
Bangalore,2023-06-30 14:00:00,18,10,60,51,14
Bangalore,2023-06-30 15:00:00,91,185,50,42,36
Mumbai,2023-06-30 16:00:00,91,77,56,34,11
Chennai,2023-06-30 17:00:00,124,10,5,29,41
Chennai,2023-06-30 18:00:00,45,97,36,10,27
Kolkata,2023-06-30 19:00:00,84,91,34,5,39
Mumbai,2023-06-30 20:00:00,139,86,34,32,12
Mumbai,2023-06-30 21:00:00,38,134,27,44,22
Mumbai,2023-06-30 22:00:00,6,123,33,28,6
Mumbai,2023-06-30 23:00:00,5,103,56,20,28
Chennai,2023-07-01 00:00:00,84,110,5,38,28
Chennai,2023-07-01 01:00:00,5,85,75,28,46
Mumbai,2023-07-01 02:00:00,46,169,49,60,23
Kolkata,2023-07-01 03:00:00,75,23,39,52,26
Delhi,2023-07-01 04:00:00,66,96,58,47,12
Delhi,2023-07-01 05:00:00,74,92,10,43,24
Kolkata,2023-07-01 06:00:00,67,126,26,6,13
Mumbai,2023-07-01 07:00:00,104,52,37,41,19
Chennai,2023-07-01 08:00:00,26,11,67,36,20
Delhi,2023-07-01 09:00:00,36,97,39,40,13
Bangalore,2023-07-01 10:00:00,32,102,49,38,18
Bangalore,2023-07-01 11:00:00,89,157,28,38,13
Kolkata,2023-07-01 12:00:00,91,32,49,78,13
Mumbai,2023-07-01 13:00:00,75,141,73,28,30
Delhi,2023-07-01 14:00:00,101,196,59,46,20
Mumbai,2023-07-01 15:00:00,18,73,38,21,22
Delhi,2023-07-01 16:00:00,118,31,53,44,1
Kolkata,2023-07-01 17:00:00,113,71,51,46,23
Kolkata,2023-07-01 18:00:00,85,90,50,36,24
Bangalore,2023-07-01 19:00:00,122,115,62,60,13
Mumbai,2023-07-01 20:00:00,5,63,62,14,43
Bangalore,2023-07-01 21:00:00,41,159,37,21,1
Mumbai,2023-07-01 22:00:00,34,39,52,33,27
Bangalore,2023-07-01 23:00:00,85,11,32,45,26
Chennai,2023-07-02 00:00:00,23,139,21,33,24
Chennai,2023-07-02 01:00:00,86,10,34,53,20
Chennai,2023-07-02 02:00:00,107,80,38,18,24
Chennai,2023-07-02 03:00:00,84,230,6,9,28
Delhi,2023-07-02 04:00:00,69,89,57,35,9
Chennai,2023-07-02 05:00:00,25,39,5,28,21
Kolkata,2023-07-02 06:00:00,30,87,94,39,15
Kolkata,2023-07-02 07:00:00,103,87,70,29,4
Delhi,2023-07-02 08:00:00,87,97,34,23,26
Chennai,2023-07-02 09:00:00,58,119,40,28,11
Chennai,2023-07-02 10:00:00,45,43,46,30,1
Chennai,2023-07-02 11:00:00,5,165,28,24,11
Bangalore,2023-07-02 12:00:00,22,101,43,26,8
Mumbai,2023-07-02 13:00:00,126,122,37,22,30
Bangalore,2023-07-02 14:00:00,15,61,38,45,19
Mumbai,2023-07-02 15:00:00,66,147,43,33,34
Chennai,2023-07-02 16:00:00,95,78,13,70,10
Chennai,2023-07-02 17:00:00,16,102,40,32,28
Bangalore,2023-07-02 18:00:00,66,48,43,20,52
Bangalore,2023-07-02 19:00:00,92,45,42,78,22
Mumbai,2023-07-02 20:00:00,60,120,35,37,28
Kolkata,2023-07-02 21:00:00,160,70,62,47,26
Mumbai,2023-07-02 22:00:00,5,51,32,40,1
Bangalore,2023-07-02 23:00:00,97,61,44,41,25
Bangalore,2023-07-03 00:00:00,53,121,65,39,21
Delhi,2023-07-03 01:00:00,87,61,38,10,14
Bangalore,2023-07-03 02:00:00,75,84,44,36,7
Delhi,2023-07-03 03:00:00,34,90,38,6,26
Kolkata,2023-07-03 04:00:00,68,10,64,26,6
Mumbai,2023-07-03 05:00:00,5,23,34,16,43
Mumbai,2023-07-03 06:00:00,81,105,65,36,19
Delhi,2023-07-03 07:00:00,70,56,37,36,3
Mumbai,2023-07-03 08:00:00,82,137,22,38,11
Bangalore,2023-07-03 09:00:00,97,133,53,35,14
Chennai,2023-07-03 10:00:00,72,122,33,19,46
Delhi,2023-07-03 11:00:00,65,171,52,25,7
Mumbai,2023-07-03 12:00:00,29,86,5,46,16
Delhi,2023-07-03 13:00:00,35,119,40,49,11
Delhi,2023-07-03 14:00:00,101,63,30,9,23
Chennai,2023-07-03 15:00:00,110,200,18,5,11
Bangalore,2023-07-03 16:00:00,51,179,28,16,4
Delhi,2023-07-03 17:00:00,61,90,28,48,15
Mumbai,2023-07-03 18:00:00,28,107,39,51,14
Kolkata,2023-07-03 19:00:00,101,151,12,13,10
Delhi,2023-07-03 20:00:00,83,83,46,35,11
Delhi,2023-07-03 21:00:00,127,60,67,63,32
Chennai,2023-07-03 22:00:00,29,129,45,37,14
Bangalore,2023-07-03 23:00:00,46,93,56,55,4
Kolkata,2023-07-04 00:00:00,68,98,61,47,12
Mumbai,2023-07-04 01:00:00,82,52,64,13,18
Kolkata,2023-07-04 02:00:00,52,12,77,26,1
Mumbai,2023-07-04 03:00:00,29,100,30,30,37
Bangalore,2023-07-04 04:00:00,90,130,25,31,28
Mumbai,2023-07-04 05:00:00,85,79,55,46,35
Chennai,2023-07-04 06:00:00,27,154,54,37,22
Chennai,2023-07-04 07:00:00,107,58,55,5,1
Chennai,2023-07-04 08:00:00,100,42,77,6,36
Chennai,2023-07-04 09:00:00,64,86,40,5,7
Kolkata,2023-07-04 10:00:00,62,86,48,33,8
Bangalore,2023-07-04 11:00:00,79,124,20,34,19
Mumbai,2023-07-04 12:00:00,29,55,82,35,34
Mumbai,2023-07-04 13:00:00,61,151,33,12,30
Chennai,2023-07-04 14:00:00,5,178,33,42,28
Chennai,2023-07-04 15:00:00,90,88,33,42,14
Delhi,2023-07-04 16:00:00,5,146,27,7,14
Bangalore,2023-07-04 17:00:00,112,42,25,5,22
Kolkata,2023-07-04 18:00:00,48,138,29,29,16
Mumbai,2023-07-04 19:00:00,52,137,12,62,28
Delhi,2023-07-04 20:00:00,38,128,24,60,27
Delhi,2023-07-04 21:00:00,49,89,78,40,25
Mumbai,2023-07-04 22:00:00,109,10,54,16,1
Kolkata,2023-07-04 23:00:00,5,61,58,45,19
Delhi,2023-07-05 00:00:00,104,61,63,21,16
Delhi,2023-07-05 01:00:00,71,45,76,16,20
Bangalore,2023-07-05 02:00:00,17,95,5,5,8
Kolkata,2023-07-05 03:00:00,22,71,15,31,2
Delhi,2023-07-05 04:00:00,118,52,23,18,23
Kolkata,2023-07-05 05:00:00,26,42,30,31,13
Mumbai,2023-07-05 06:00:00,19,57,33,5,24
Chennai,2023-07-05 07:00:00,99,140,31,33,9
Delhi,2023-07-05 08:00:00,71,60,44,5,34
Bangalore,2023-07-05 09:00:00,27,66,40,49,30
Mumbai,2023-07-05 10:00:00,67,69,25,39,21
Kolkata,2023-07-05 11:00:00,24,105,5,24,15
Mumbai,2023-07-05 12:00:00,98,110,20,40,28
Delhi,2023-07-05 13:00:00,97,10,29,12,22
Kolkata,2023-07-05 14:00:00,78,135,35,31,20
Chennai,2023-07-05 15:00:00,72,154,17,44,30
Mumbai,2023-07-05 16:00:00,121,42,30,5,35
Delhi,2023-07-05 17:00:00,59,46,17,21,2
Bangalore,2023-07-05 18:00:00,18,69,37,29,5
Kolkata,2023-07-05 19:00:00,75,55,18,26,8
Mumbai,2023-07-05 20:00:00,133,100,23,56,1
Mumbai,2023-07-05 21:00:00,24,10,13,9,17
Chennai,2023-07-05 22:00:00,47,39,36,18,25
Chennai,2023-07-05 23:00:00,74,159,22,5,17
Bangalore,2023-07-06 00:00:00,58,48,58,57,11
Bangalore,2023-07-06 01:00:00,25,145,48,25,31
Delhi,2023-07-06 02:00:00,99,105,38,22,19
Delhi,2023-07-06 03:00:00,141,10,24,29,22
Bangalore,2023-07-06 04:00:00,66,118,47,41,31
Bangalore,2023-07-06 05:00:00,28,84,53,36,16
Kolkata,2023-07-06 06:00:00,5,69,42,77,42
Chennai,2023-07-06 07:00:00,69,101,72,38,12
Delhi,2023-07-06 08:00:00,98,111,49,21,41
Chennai,2023-07-06 09:00:00,76,121,58,19,6
Chennai,2023-07-06 10:00:00,59,143,42,22,24
Bangalore,2023-07-06 11:00:00,39,108,53,5,10
Kolkata,2023-07-06 12:00:00,21,28,24,30,31
Mumbai,2023-07-06 13:00:00,89,68,30,44,12
Kolkata,2023-07-06 14:00:00,91,222,46,18,21
Kolkata,2023-07-06 15:00:00,5,122,46,15,10
Chennai,2023-07-06 16:00:00,115,196,50,57,29
Kolkata,2023-07-06 17:00:00,80,152,62,5,10
Delhi,2023-07-06 18:00:00,108,100,11,5,38
Chennai,2023-07-06 19:00:00,13,103,20,9,6
Delhi,2023-07-06 20:00:00,12,88,44,5,1
Mumbai,2023-07-06 21:00:00,54,11,25,36,29
Chennai,2023-07-06 22:00:00,77,90,107,23,10
Mumbai,2023-07-06 23:00:00,122,144,50,26,17
Chennai,2023-07-07 00:00:00,84,63,38,50,14
Bangalore,2023-07-07 01:00:00,51,108,29,17,2
Kolkata,2023-07-07 02:00:00,24,128,30,43,17
Bangalore,2023-07-07 03:00:00,103,49,40,57,33
Mumbai,2023-07-07 04:00:00,26,69,42,21,30
Kolkata,2023-07-07 05:00:00,116,44,30,43,20
Chennai,2023-07-07 06:00:00,50,53,34,25,31
Kolkata,2023-07-07 07:00:00,115,32,66,46,5
Delhi,2023-07-07 08:00:00,83,49,67,5,14
Kolkata,2023-07-07 09:00:00,55,153,45,5,22
Delhi,2023-07-07 10:00:00,41,48,13,22,16
Kolkata,2023-07-07 11:00:00,48,95,50,13,15
Delhi,2023-07-07 12:00:00,74,67,71,20,3
Mumbai,2023-07-07 13:00:00,62,143,67,26,1
Bangalore,2023-07-07 14:00:00,39,149,54,42,27
Chennai,2023-07-07 15:00:00,54,128,68,22,20
Kolkata,2023-07-07 16:00:00,62,103,41,15,28
Bangalore,2023-07-07 17:00:00,5,79,52,23,12
Chennai,2023-07-07 18:00:00,76,36,26,16,9
Chennai,2023-07-07 19:00:00,25,177,45,13,18
Delhi,2023-07-07 20:00:00,19,55,66,5,28
Mumbai,2023-07-07 21:00:00,5,119,28,31,15
Mumbai,2023-07-07 22:00:00,5,137,22,19,27
Bangalore,2023-07-07 23:00:00,12,65,41,47,5
Mumbai,2023-07-08 00:00:00,35,136,35,5,16
Kolkata,2023-07-08 01:00:00,128,124,52,20,17
Mumbai,2023-07-08 02:00:00,41,167,30,62,32
Bangalore,2023-07-08 03:00:00,66,68,74,13,20
Mumbai,2023-07-08 04:00:00,74,32,14,25,38
Kolkata,2023-07-08 05:00:00,64,67,65,8,1
Delhi,2023-07-08 06:00:00,57,99,24,5,19
Bangalore,2023-07-08 07:00:00,18,92,5,57,20
Delhi,2023-07-08 08:00:00,110,72,44,33,25
Delhi,2023-07-08 09:00:00,123,10,34,32,8
Delhi,2023-07-08 10:00:00,5,111,17,5,38
Chennai,2023-07-08 11:00:00,24,178,6,36,18
Chennai,2023-07-08 12:00:00,50,110,39,50,4
Delhi,2023-07-08 13:00:00,26,117,59,50,17
Bangalore,2023-07-08 14:00:00,77,115,51,42,14
Kolkata,2023-07-08 15:00:00,34,107,41,9,51
Kolkata,2023-07-08 16:00:00,135,131,49,35,30
Mumbai,2023-07-08 17:00:00,101,107,39,42,18
Bangalore,2023-07-08 18:00:00,67,75,11,5,16
Chennai,2023-07-08 19:00:00,95,54,11,9,29
Delhi,2023-07-08 20:00:00,98,78,35,45,29
Mumbai,2023-07-08 21:00:00,40,104,36,45,1
Kolkata,2023-07-08 22:00:00,31,75,57,5,25
Chennai,2023-07-08 23:00:00,62,104,55,44,18
Chennai,2023-07-09 00:00:00,90,109,52,31,2
Delhi,2023-07-09 01:00:00,64,127,34,44,28
Kolkata,2023-07-09 02:00:00,5,147,12,18,44
Bangalore,2023-07-09 03:00:00,31,93,48,41,24
Chennai,2023-07-09 04:00:00,57,31,50,45,31
Delhi,2023-07-09 05:00:00,57,74,5,23,39
Bangalore,2023-07-09 06:00:00,129,91,23,30,8
Kolkata,2023-07-09 07:00:00,11,10,26,18,1
Chennai,2023-07-09 08:00:00,77,152,42,59,25
Bangalore,2023-07-09 09:00:00,112,96,23,27,15
Bangalore,2023-07-09 10:00:00,139,107,39,13,1
Bangalore,2023-07-09 11:00:00,45,151,35,17,17
Chennai,2023-07-09 12:00:00,77,61,36,32,26
Chennai,2023-07-09 13:00:00,79,115,25,43,16
Mumbai,2023-07-09 14:00:00,66,85,27,5,8
Kolkata,2023-07-09 15:00:00,56,81,18,63,15
Delhi,2023-07-09 16:00:00,75,55,47,35,17
Bangalore,2023-07-09 17:00:00,5,164,51,38,1
Mumbai,2023-07-09 18:00:00,83,73,24,28,16
Delhi,2023-07-09 19:00:00,64,121,70,30,1
Mumbai,2023-07-09 20:00:00,52,10,33,27,25
Chennai,2023-07-09 21:00:00,131,143,70,48,1
Bangalore,2023-07-09 22:00:00,36,137,27,29,30
Delhi,2023-07-09 23:00:00,45,94,5,43,13
Delhi,2023-07-10 00:00:00,129,79,48,22,11
Delhi,2023-07-10 01:00:00,30,108,44,33,21
Delhi,2023-07-10 02:00:00,40,192,40,15,7
Delhi,2023-07-10 03:00:00,54,10,27,51,21
Mumbai,2023-07-10 04:00:00,89,125,39,14,9
Bangalore,2023-07-10 05:00:00,67,48,29,24,11
Chennai,2023-07-10 06:00:00,14,89,33,24,22
Chennai,2023-07-10 07:00:00,41,78,56,23,4
Chennai,2023-07-10 08:00:00,38,70,43,43,2
Chennai,2023-07-10 09:00:00,57,89,52,24,20
Mumbai,2023-07-10 10:00:00,74,38,35,55,17
Kolkata,2023-07-10 11:00:00,74,136,33,15,20
Bangalore,2023-07-10 12:00:00,5,10,16,33,21
Delhi,2023-07-10 13:00:00,97,114,32,16,18
Kolkata,2023-07-10 14:00:00,68,75,5,37,25
Chennai,2023-07-10 15:00:00,108,37,28,29,19
Kolkata,2023-07-10 16:00:00,75,99,38,27,1
Bangalore,2023-07-10 17:00:00,98,19,51,51,1
Delhi,2023-07-10 18:00:00,76,91,34,18,41
Delhi,2023-07-10 19:00:00,107,25,46,40,18
Bangalore,2023-07-10 20:00:00,78,110,5,16,29
Bangalore,2023-07-10 21:00:00,56,48,38,32,13
Chennai,2023-07-10 22:00:00,139,69,6,8,17
Delhi,2023-07-10 23:00:00,91,103,15,18,12
Kolkata,2023-07-11 00:00:00,80,55,36,28,47
Mumbai,2023-07-11 01:00:00,15,87,65,62,21
Mumbai,2023-07-11 02:00:00,14,21,47,31,11
Bangalore,2023-07-11 03:00:00,70,118,40,59,1
Chennai,2023-07-11 04:00:00,65,169,39,33,41
Mumbai,2023-07-11 05:00:00,38,215,25,23,16
Delhi,2023-07-11 06:00:00,64,94,29,57,26
Bangalore,2023-07-11 07:00:00,115,125,48,37,28
Kolkata,2023-07-11 08:00:00,84,10,12,18,12
Bangalore,2023-07-11 09:00:00,20,157,51,38,26
Kolkata,2023-07-11 10:00:00,56,124,32,24,10
Bangalore,2023-07-11 11:00:00,31,68,56,5,6
Bangalore,2023-07-11 12:00:00,46,145,59,46,31
Bangalore,2023-07-11 13:00:00,45,78,6,49,16
Kolkata,2023-07-11 14:00:00,43,69,28,63,24
